province_region,NOC code,Occupational Group,2016,2017,2018,2019,2020,2021,2022,2023
Canada,0621,Retail and wholesale trade managers,227,181,145,246,267,248,356,350
Canada,0631,Restaurant and food service managers,407,357,271,596,729,516,"1,055","1,421"
Canada,0632,Accommodation service managers,53,46,35,50,48,35,75,80
Canada,0651,"Managers in customer and personal services, n.e.c.",45,59,46,89,114,115,112,88
Canada,0711,Construction managers,151,98,82,71,105,93,190,177
Canada,0712,Home building and renovation managers,4,2,2,4,8,16,34,29
Canada,0714,Facility operation and maintenance managers,32,20,11,12,15,21,40,47
Canada,0731,Managers in transportation,50,25,25,27,28,32,55,51
Canada,0811,Managers in natural resources production and fishing,17,11,5,3,7,2,3,4
Canada,0821,Managers in agriculture,54,57,45,45,93,41,72,93
Canada,0822,Managers in horticulture,32,21,16,20,24,16,26,28
Canada,0823,Managers in aquaculture,1,1,1,1,1,4,4,1
Canada,0911,Manufacturing managers,69,59,31,31,51,45,69,69
Canada,0912,Utilities managers,3,1,1,0,1,2,1,1
Canada,1111,Financial auditors and accountants,28,23,14,27,16,25,69,54
Canada,1112,Financial and investment analysts,21,31,15,23,26,23,61,102
Canada,1113,"Securities agents, investment dealers and brokers",3,6,0,1,1,1,0,1
Canada,1114,Other financial officers,9,4,1,3,6,8,20,54
Canada,1121,Human resources professionals,4,10,4,10,14,22,49,72
Canada,1122,Professional occupations in business management consulting,96,57,38,41,38,31,98,174
Canada,1123,"Professional occupations in advertising, marketing and public relations",46,67,59,110,176,164,424,622
Canada,1211,"Supervisors, general office and administrative support workers",41,40,22,50,58,35,58,118
Canada,1212,"Supervisors, finance and insurance office workers",18,18,9,15,17,13,18,48
Canada,1213,"Supervisors, library, correspondence and related information workers",10,8,1,0,0,0,1,0
Canada,1214,"Supervisors, mail and message distribution occupations",1,0,1,0,1,1,8,25
Canada,1215,"Supervisors, supply chain, tracking and scheduling co-ordination occupations",203,213,161,339,385,334,647,740
Canada,1221,Administrative officers,173,233,244,584,606,549,"1,466","1,998"
Canada,1222,Executive assistants,34,16,13,19,29,21,54,45
Canada,1223,Human resources and recruitment officers,32,30,15,30,46,53,206,212
Canada,1224,Property administrators,10,7,1,8,15,14,29,49
