province_region,NOC code,Occupational Group,2016,2017,2018,2019,2020,2021,2022,2023
Newfoundland and Labrador,7535,Other automotive mechanical installers and servicers,0,0,0,0,0,0,3,2
Newfoundland and Labrador,7611,Construction trades helpers and labourers,2,0,0,0,0,10,5,0
Newfoundland and Labrador,7612,Other trades helpers and labourers,0,0,0,0,6,3,13,4
Newfoundland and Labrador,8221,"Supervisors, mining and quarrying",0,4,0,0,0,0,0,0
Newfoundland and Labrador,8222,"Contractors and supervisors, oil and gas drilling and services",15,23,23,19,15,11,29,57
Newfoundland and Labrador,8231,Underground production and development miners,0,2,0,0,0,0,0,0
Newfoundland and Labrador,8232,"Oil and gas well drillers, servicers, testers and related workers",14,26,16,7,5,17,32,40
Newfoundland and Labrador,8252,"Agricultural service contractors, farm supervisors and specialized livestock workers",4,9,15,13,12,15,18,12
Newfoundland and Labrador,8261,Fishing masters and officers,1,0,0,0,0,0,0,0
Newfoundland and Labrador,8412,Oil and gas well drilling and related workers and services operators,2,4,0,0,8,12,18,22
Newfoundland and Labrador,8431,General farm workers,32,24,29,53,69,58,85,88
Newfoundland and Labrador,8432,Nursery and greenhouse workers,0,3,2,1,0,0,0,1
Newfoundland and Labrador,8612,Landscaping and grounds maintenance labourers,0,0,0,0,0,0,0,5
Newfoundland and Labrador,8615,"Oil and gas drilling, servicing and related labourers",2,8,0,0,2,0,36,31
Newfoundland and Labrador,8616,Logging and forestry labourers,0,0,0,0,0,0,0,10
Newfoundland and Labrador,9212,"Supervisors, petroleum, gas and chemical processing and utilities",2,0,0,0,2,0,0,2
Newfoundland and Labrador,9226,"Supervisors, other mechanical and metal products manufacturing",1,2,2,4,0,0,3,0
Newfoundland and Labrador,9241,Power engineers and power systems operators,0,0,0,1,0,0,0,0
Newfoundland and Labrador,9418,Other metal products machine operators,5,0,0,0,0,0,0,0
Newfoundland and Labrador,9446,Industrial sewing machine operators,0,1,0,0,0,0,0,0
Newfoundland and Labrador,9463,Fish and seafood plant workers,0,85,56,0,0,15,312,520
Newfoundland and Labrador,9531,Boat assemblers and inspectors,0,0,0,0,0,3,2,0
Newfoundland and Labrador,9535,"Plastic products assemblers, finishers and inspectors",0,0,0,0,0,4,5,0
Newfoundland and Labrador,9536,"Industrial painters, coaters and metal finishing process operators",9,0,0,0,0,0,2,0
Newfoundland and Labrador,9612,Labourers in metal fabrication,35,0,0,0,0,0,0,0
Newfoundland and Labrador,9614,"Labourers in wood, pulp and paper processing",0,0,0,0,0,0,20,0
Newfoundland and Labrador,9617,"Labourers in food, beverage and associated products processing",0,0,0,0,0,5,1,0
Newfoundland and Labrador,9618,Labourers in fish and seafood processing,0,0,0,12,150,0,234,370
Newfoundland and Labrador,9619,"Other labourers in processing, manufacturing and utilities",0,0,0,0,0,0,4,0
Prince Edward Island,0014,"Senior managers - health, education, social and community services and membership organizations",0,0,0,0,1,0,0,0
Prince Edward Island,0016,"Senior managers - construction, transportation, production and utilities",0,1,0,1,2,1,1,0
Prince Edward Island,0124,"Advertising, marketing and public relations managers",0,0,0,1,0,0,0,0
Prince Edward Island,0125,Other business services managers,0,0,1,0,0,0,0,0
Prince Edward Island,0211,Engineering managers,2,1,0,0,0,0,0,0
Prince Edward Island,0212,Architecture and science managers,0,0,0,0,0,1,0,0
Prince Edward Island,0213,Computer and information systems managers,0,0,0,0,0,0,0,1
Prince Edward Island,0423,"Managers in social, community and correctional services",0,0,0,0,0,1,0,0
Prince Edward Island,0621,Retail and wholesale trade managers,0,0,0,0,1,0,0,0
Prince Edward Island,0631,Restaurant and food service managers,0,1,1,1,2,0,0,3
Prince Edward Island,0632,Accommodation service managers,1,1,0,0,0,0,0,0
Prince Edward Island,0731,Managers in transportation,4,0,0,0,0,0,0,0
Prince Edward Island,0821,Managers in agriculture,0,0,0,0,2,1,0,1
Prince Edward Island,0822,Managers in horticulture,2,0,2,0,0,2,2,0
Prince Edward Island,0911,Manufacturing managers,0,0,0,0,1,1,1,1
Prince Edward Island,1123,"Professional occupations in advertising, marketing and public relations",1,0,0,1,0,0,0,0
Prince Edward Island,1223,Human resources and recruitment officers,0,0,0,0,0,0,2,0
Prince Edward Island,1224,Property administrators,0,0,0,0,0,1,0,0
Prince Edward Island,1241,Administrative assistants,0,1,0,0,0,0,0,3
Prince Edward Island,1242,Legal administrative assistants,0,0,0,0,0,0,0,1
Prince Edward Island,1311,Accounting technicians and bookkeepers,0,0,0,0,0,0,0,2
Prince Edward Island,1431,Accounting and related clerks,0,0,0,0,0,0,0,1
Prince Edward Island,1523,Production logistics co-ordinators,0,0,0,0,0,1,0,0
Prince Edward Island,2121,Biologists and related scientists,0,0,0,1,1,0,1,1
Prince Edward Island,2131,Civil engineers,10,0,0,0,0,0,0,0
Prince Edward Island,2141,Industrial and manufacturing engineers,3,0,0,0,0,0,0,0
Prince Edward Island,2148,"Other professional engineers, n.e.c.",1,0,0,0,0,0,0,0
Prince Edward Island,2154,Land surveyors,16,2,0,0,0,0,0,0
Prince Edward Island,2172,Database analysts and data administrators,0,0,0,0,0,1,1,0
Prince Edward Island,2173,Software engineers and designers,0,1,0,0,1,0,1,2
Prince Edward Island,2174,Computer programmers and interactive media developers,0,0,1,0,2,1,1,0
Prince Edward Island,2175,Web designers and developers,0,0,0,0,0,0,0,1
Prince Edward Island,2231,Civil engineering technologists and technicians,0,0,0,0,0,0,1,0
Prince Edward Island,2232,Mechanical engineering technologists and technicians,0,0,1,0,0,0,0,0
Prince Edward Island,2243,Industrial instrument technicians and mechanics,1,0,0,0,0,0,0,0
Prince Edward Island,2253,Drafting technologists and technicians,0,0,0,0,0,0,0,1
Prince Edward Island,2263,Inspectors in public and environmental health and occupational health and safety,1,1,0,0,0,0,0,0
Prince Edward Island,2273,"Deck officers, water transport",0,5,0,0,0,0,0,0
Prince Edward Island,2274,"Engineer officers, water transport",0,3,0,0,0,0,0,0
Prince Edward Island,2283,Information systems testing technicians,0,1,0,0,0,0,0,0
Prince Edward Island,3111,Specialist physicians,1,3,0,1,1,0,2,0
Prince Edward Island,3112,General practitioners and family physicians,3,1,0,0,1,1,1,0
Prince Edward Island,3232,Practitioners of natural healing,0,0,0,0,0,0,0,1
Prince Edward Island,3236,Massage therapists,0,0,0,2,0,0,0,0
Prince Edward Island,3413,"Nurse aides, orderlies and patient service associates",0,0,0,2,2,0,1,7
Prince Edward Island,4011,University professors and lecturers,0,0,0,1,0,0,0,0
Prince Edward Island,4021,College and other vocational instructors,1,0,0,0,0,0,0,0
Prince Edward Island,4163,Business development officers and marketing researchers and consultants,4,0,1,0,0,0,0,0
Prince Edward Island,4167,"Recreation, sports and fitness policy researchers, consultants and program officers",0,3,0,0,0,0,0,0
Prince Edward Island,4411,Home child care providers,0,0,0,2,0,1,0,1
Prince Edward Island,4412,"Home support workers, housekeepers and related occupations",1,0,3,2,0,2,2,1
Prince Edward Island,5131,"Producers, directors, choreographers and related occupations",2,0,0,1,0,0,1,0
Prince Edward Island,5135,Actors and comedians,0,1,0,0,0,0,0,0
Prince Edward Island,5241,Graphic designers and illustrators,1,0,0,0,0,0,0,0
Prince Edward Island,5244,Artisans and craftspersons,5,0,0,0,0,0,0,0
Prince Edward Island,6211,Retail sales supervisors,0,0,0,0,0,1,2,4
Prince Edward Island,6221,Technical sales specialists - wholesale trade,0,0,0,0,0,0,1,0
Prince Edward Island,6311,Food service supervisors,1,0,1,1,0,0,65,2
Prince Edward Island,6315,Cleaning supervisors,0,0,0,0,0,4,0,5
Prince Edward Island,6321,Chefs,0,3,0,1,1,0,0,1
Prince Edward Island,6322,Cooks,7,6,4,9,8,9,18,34
Prince Edward Island,6331,"Butchers, meat cutters and fishmongers - retail and wholesale",0,0,0,0,1,2,1,0
Prince Edward Island,6332,Bakers,0,1,1,0,0,0,6,1
Prince Edward Island,6341,Hairstylists and barbers,0,0,0,0,0,0,1,0
Prince Edward Island,6344,"Jewellers, jewellery and watch repairers and related occupations",0,0,0,0,0,0,1,0
Prince Edward Island,6421,Retail salespersons,0,0,1,0,0,0,1,1
Prince Edward Island,6512,Bartenders,0,0,0,1,0,0,0,0
Prince Edward Island,6513,Food and beverage servers,0,0,1,1,0,0,1,1
Prince Edward Island,6531,Tour and travel guides,3,1,0,0,0,0,0,0
Prince Edward Island,6532,Outdoor sport and recreational guides,0,3,0,0,0,0,0,0
Prince Edward Island,6562,"Estheticians, electrologists and related occupations",0,0,0,1,0,0,0,3
Prince Edward Island,6611,Cashiers,0,0,0,0,0,0,1,1
Prince Edward Island,6711,"Food counter attendants, kitchen helpers and related support occupations",0,0,0,0,0,0,9,12
Prince Edward Island,6731,Light duty cleaners,0,0,0,0,0,0,13,6
Prince Edward Island,6733,"Janitors, caretakers and building superintendents",0,0,0,0,0,0,0,4
Prince Edward Island,7202,"Contractors and supervisors, electrical trades and telecommunications occupations",2,0,0,0,0,0,0,0
Prince Edward Island,7205,"Contractors and supervisors, other construction trades, installers, repairers and servicers",0,0,0,0,0,0,0,5
Prince Edward Island,7231,Machinists and machining and tooling inspectors,0,0,0,2,0,0,0,0
Prince Edward Island,7235,Structural metal and platework fabricators and fitters,3,0,0,0,0,0,0,0
Prince Edward Island,7237,Welders and related machine operators,7,0,0,0,0,0,0,22
Prince Edward Island,7242,Industrial electricians,0,3,0,0,0,0,0,0
Prince Edward Island,7246,Telecommunications installation and repair workers,0,0,0,0,0,0,0,1
Prince Edward Island,7252,"Steamfitters, pipefitters and sprinkler system installers",11,0,0,0,0,0,0,0
Prince Edward Island,7271,Carpenters,0,0,0,8,0,0,11,1
Prince Edward Island,7291,Roofers and shinglers,0,0,0,6,0,0,10,0
Prince Edward Island,7294,Painters and decorators (except interior decorators),2,0,0,0,0,0,0,1
Prince Edward Island,7305,"Supervisors, motor transport and other ground transit operators",0,0,0,0,0,0,1,0
Prince Edward Island,7312,Heavy-duty equipment mechanics,0,0,0,1,0,1,1,0
Prince Edward Island,7321,"Automotive service technicians, truck and bus mechanics and mechanical repairers",0,0,0,0,0,0,0,7
Prince Edward Island,7335,Other small engine and small equipment repairers,0,0,0,0,0,0,0,1
Prince Edward Island,7384,"Other trades and related occupations, n.e.c.",0,2,0,0,0,0,1,0
Prince Edward Island,7452,Material handlers,0,0,0,4,0,0,0,4
Prince Edward Island,7511,Transport truck drivers,32,86,114,57,50,56,84,34
Prince Edward Island,7514,Delivery and courier service drivers,0,0,0,0,0,0,3,0
Prince Edward Island,7521,Heavy equipment operators (except crane),10,6,0,0,0,0,0,0
Prince Edward Island,7611,Construction trades helpers and labourers,1,8,0,8,12,10,14,28
Prince Edward Island,7612,Other trades helpers and labourers,0,0,0,0,0,0,0,2
Prince Edward Island,8252,"Agricultural service contractors, farm supervisors and specialized livestock workers",12,31,15,18,40,31,16,27
Prince Edward Island,8255,"Contractors and supervisors, landscaping, grounds maintenance and horticulture services",0,0,0,0,0,2,2,0
Prince Edward Island,8431,General farm workers,319,358,374,436,691,406,620,646
Prince Edward Island,8432,Nursery and greenhouse workers,9,15,13,64,17,8,12,5
Prince Edward Island,8441,Fishing vessel deckhands,0,0,0,0,0,0,0,8
Prince Edward Island,8611,Harvesting labourers,18,14,4,8,6,58,27,34
Prince Edward Island,8612,Landscaping and grounds maintenance labourers,0,0,0,0,0,0,0,6
Prince Edward Island,8613,Aquaculture and marine harvest labourers,0,0,0,0,0,9,10,35
Prince Edward Island,9442,"Weavers, knitters and other fabric making occupations",0,1,0,0,0,0,0,0
Prince Edward Island,9446,Industrial sewing machine operators,0,0,0,0,0,1,0,0
Prince Edward Island,9462,"Industrial butchers and meat cutters, poultry preparers and related workers",5,0,10,10,16,0,26,0
Prince Edward Island,9463,Fish and seafood plant workers,416,492,464,527,865,881,"1,212",660
Prince Edward Island,9612,Labourers in metal fabrication,0,0,0,0,0,0,3,0
Prince Edward Island,9617,"Labourers in food, beverage and associated products processing",0,0,0,0,0,0,16,5
Prince Edward Island,9618,Labourers in fish and seafood processing,28,0,0,0,0,6,77,53
Prince Edward Island,9619,"Other labourers in processing, manufacturing and utilities",0,0,0,0,0,4,7,23
Nova Scotia,0013,"Senior managers - financial, communications and other business services",3,4,2,3,4,2,3,4
Nova Scotia,0014,"Senior managers - health, education, social and community services and membership organizations",0,0,0,0,2,1,0,1
Nova Scotia,0015,"Senior managers - trade, broadcasting and other services, n.e.c.",2,1,1,3,1,2,0,0
Nova Scotia,0016,"Senior managers - construction, transportation, production and utilities",8,7,5,8,8,5,4,1
Nova Scotia,0111,Financial managers,0,0,0,0,0,1,1,2
Nova Scotia,0113,Purchasing managers,2,2,1,1,2,1,2,3
Nova Scotia,0114,Other administrative services managers,0,0,0,0,0,1,1,1
Nova Scotia,0122,"Banking, credit and other investment managers",0,0,0,0,0,0,1,0
Nova Scotia,0124,"Advertising, marketing and public relations managers",1,0,1,0,0,1,0,3
Nova Scotia,0125,Other business services managers,0,0,0,0,0,3,0,2
Nova Scotia,0131,Telecommunication carriers managers,0,0,1,0,0,0,0,0
Nova Scotia,0211,Engineering managers,1,10,8,10,4,5,7,5
Nova Scotia,0212,Architecture and science managers,0,0,0,0,0,1,1,0
Nova Scotia,0213,Computer and information systems managers,1,1,1,4,1,4,4,7
Nova Scotia,0412,"Government managers - economic analysis, policy development and program administration",0,0,0,0,0,3,0,0
Nova Scotia,0421,Administrators - post-secondary education and vocational training,1,0,0,2,0,0,0,0
Nova Scotia,0422,School principals and administrators of elementary and secondary education,0,0,0,0,0,0,1,0
Nova Scotia,0433,Commissioned officers of the Canadian Forces,0,0,0,0,0,0,0,1
Nova Scotia,0601,Corporate sales managers,0,0,0,0,0,0,2,2
Nova Scotia,0621,Retail and wholesale trade managers,2,0,1,3,1,1,1,2
Nova Scotia,0631,Restaurant and food service managers,0,0,2,1,5,2,10,13
Nova Scotia,0632,Accommodation service managers,2,3,0,0,3,1,2,3
Nova Scotia,0651,"Managers in customer and personal services, n.e.c.",0,0,0,0,1,0,0,0
Nova Scotia,0711,Construction managers,6,7,6,3,2,2,9,1
Nova Scotia,0712,Home building and renovation managers,0,0,0,0,0,1,0,0
Nova Scotia,0714,Facility operation and maintenance managers,1,1,0,0,0,0,1,1
Nova Scotia,0731,Managers in transportation,2,0,0,0,4,0,0,1
Nova Scotia,0811,Managers in natural resources production and fishing,6,0,0,0,3,0,0,0
Nova Scotia,0821,Managers in agriculture,0,1,1,0,1,1,1,1
Nova Scotia,0823,Managers in aquaculture,0,0,0,0,0,0,1,0
Nova Scotia,0911,Manufacturing managers,14,23,13,4,6,6,4,0
Nova Scotia,1111,Financial auditors and accountants,0,0,0,0,0,0,0,1
Nova Scotia,1114,Other financial officers,0,0,0,0,0,0,0,5
Nova Scotia,1121,Human resources professionals,0,0,0,0,0,0,1,0
Nova Scotia,1122,Professional occupations in business management consulting,4,6,2,5,1,5,8,12
Nova Scotia,1123,"Professional occupations in advertising, marketing and public relations",1,0,2,0,0,0,2,5
Nova Scotia,1211,"Supervisors, general office and administrative support workers",0,0,0,0,1,0,0,0
Nova Scotia,1212,"Supervisors, finance and insurance office workers",0,0,0,0,0,0,0,2
Nova Scotia,1215,"Supervisors, supply chain, tracking and scheduling co-ordination occupations",1,0,0,0,0,1,4,5
Nova Scotia,1221,Administrative officers,1,0,0,0,0,5,10,8
Nova Scotia,1223,Human resources and recruitment officers,0,0,0,0,0,0,0,6
Nova Scotia,1224,Property administrators,0,0,0,0,0,0,1,0
Nova Scotia,1225,Purchasing agents and officers,3,1,2,0,0,1,0,1
Nova Scotia,1241,Administrative assistants,0,0,2,0,2,2,9,13
Nova Scotia,1243,Medical administrative assistants,0,0,0,0,0,0,0,1
Nova Scotia,1311,Accounting technicians and bookkeepers,0,0,0,1,1,3,11,14
Nova Scotia,1422,Data entry clerks,0,0,0,0,0,0,0,1
Nova Scotia,1431,Accounting and related clerks,0,0,0,0,0,0,0,1
Nova Scotia,1522,Storekeepers and partspersons,2,0,0,0,0,1,0,1
Nova Scotia,1524,Purchasing and inventory control workers,0,0,0,0,0,0,1,1
Nova Scotia,1525,Dispatchers,0,0,0,0,0,0,0,2
Nova Scotia,2111,Physicists and astronomers,0,0,0,0,0,0,1,1
Nova Scotia,2112,Chemists,0,1,0,0,0,0,2,0
Nova Scotia,2113,Geoscientists and oceanographers,1,0,0,0,0,0,0,0
Nova Scotia,2121,Biologists and related scientists,0,1,0,0,0,1,1,1
Nova Scotia,2131,Civil engineers,0,2,0,0,1,0,1,0
Nova Scotia,2132,Mechanical engineers,22,6,0,4,0,2,0,1
Nova Scotia,2133,Electrical and electronics engineers,5,4,1,2,0,2,0,0
Nova Scotia,2134,Chemical engineers,0,1,0,0,0,1,2,0
Nova Scotia,2141,Industrial and manufacturing engineers,0,1,2,1,0,0,2,0
Nova Scotia,2142,Metallurgical and materials engineers,0,1,0,0,0,0,0,0
Nova Scotia,2145,Petroleum engineers,13,0,0,0,1,0,0,0
Nova Scotia,2147,Computer engineers (except software engineers and designers),0,0,0,0,0,3,9,2
Nova Scotia,2148,"Other professional engineers, n.e.c.",1,2,11,6,6,0,1,0
Nova Scotia,2154,Land surveyors,0,12,0,1,0,1,0,0
Nova Scotia,2161,"Mathematicians, statisticians and actuaries",0,1,0,0,0,0,0,0
Nova Scotia,2171,Information systems analysts and consultants,28,10,5,3,9,11,15,10
Nova Scotia,2172,Database analysts and data administrators,1,0,2,1,1,1,3,3
Nova Scotia,2173,Software engineers and designers,2,2,5,7,7,40,33,20
Nova Scotia,2174,Computer programmers and interactive media developers,5,1,1,16,5,34,73,17
Nova Scotia,2175,Web designers and developers,0,0,0,2,5,2,3,5
Nova Scotia,2211,Chemical technologists and technicians,0,0,0,1,0,1,3,0
Nova Scotia,2212,Geological and mineral technologists and technicians,0,1,0,0,0,0,0,0
Nova Scotia,2221,Biological technologists and technicians,0,0,1,0,0,0,0,1
Nova Scotia,2225,Landscape and horticulture technicians and specialists,0,0,0,0,0,2,1,0
Nova Scotia,2231,Civil engineering technologists and technicians,1,2,1,3,0,0,1,0
Nova Scotia,2232,Mechanical engineering technologists and technicians,50,2,4,7,1,5,0,0
Nova Scotia,2233,Industrial engineering and manufacturing technologists and technicians,1,0,0,0,0,0,0,0
Nova Scotia,2234,Construction estimators,0,0,0,0,0,0,0,1
Nova Scotia,2241,Electrical and electronics engineering technologists and technicians,36,4,0,2,0,1,1,1
Nova Scotia,2242,Electronic service technicians (household and business equipment),1,0,2,0,0,0,0,0
Nova Scotia,2243,Industrial instrument technicians and mechanics,0,0,1,1,0,0,0,0
Nova Scotia,2244,"Aircraft instrument, electrical and avionics mechanics, technicians and inspectors",5,9,0,1,0,0,0,1
Nova Scotia,2252,Industrial designers,0,0,0,0,0,0,1,1
Nova Scotia,2253,Drafting technologists and technicians,0,1,2,0,0,0,0,0
Nova Scotia,2254,Land survey technologists and technicians,0,0,1,0,0,0,0,0
Nova Scotia,2255,Technical occupations in geomatics and meteorology,0,1,0,0,0,0,0,0
Nova Scotia,2261,Non-destructive testers and inspection technicians,3,0,0,0,0,0,0,0
Nova Scotia,2262,Engineering inspectors and regulatory officers,1,0,0,0,2,0,0,0
Nova Scotia,2263,Inspectors in public and environmental health and occupational health and safety,4,2,0,2,4,0,0,0
Nova Scotia,2271,"Air pilots, flight engineers and flying instructors",5,0,0,0,0,0,0,0
Nova Scotia,2273,"Deck officers, water transport",19,16,5,24,19,7,0,5
Nova Scotia,2274,"Engineer officers, water transport",14,9,2,13,1,4,0,5
Nova Scotia,2281,Computer network technicians,10,0,0,0,0,0,2,1
Nova Scotia,2282,User support technicians,0,0,0,0,0,0,0,3
Nova Scotia,2283,Information systems testing technicians,1,0,0,2,0,1,3,5
Nova Scotia,3012,Registered nurses and registered psychiatric nurses,1,1,2,0,1,0,0,0
Nova Scotia,3111,Specialist physicians,21,5,0,1,2,0,0,2
Nova Scotia,3112,General practitioners and family physicians,1,2,0,0,2,1,0,0
Nova Scotia,3113,Dentists,0,0,1,0,0,0,0,0
Nova Scotia,3114,Veterinarians,0,0,0,0,0,1,1,0
Nova Scotia,3121,Optometrists,0,0,0,0,0,0,1,0
Nova Scotia,3125,Other professional occupations in health diagnosing and treating,3,0,0,1,0,2,1,0
Nova Scotia,3142,Physiotherapists,0,0,0,0,0,0,0,2
Nova Scotia,3216,Medical sonographers,0,3,0,0,0,0,0,0
Nova Scotia,3223,"Dental technologists, technicians and laboratory assistants",0,0,0,0,0,1,1,1
Nova Scotia,3232,Practitioners of natural healing,0,0,1,1,1,0,0,0
Nova Scotia,3233,Licensed practical nurses,1,0,0,0,0,0,0,0
Nova Scotia,3234,Paramedical occupations,0,0,0,2,0,0,0,0
Nova Scotia,3236,Massage therapists,0,0,0,0,1,1,0,0
Nova Scotia,3413,"Nurse aides, orderlies and patient service associates",0,0,7,0,1,1,7,12
Nova Scotia,4011,University professors and lecturers,11,6,8,9,11,10,1,5
Nova Scotia,4021,College and other vocational instructors,2,2,2,0,1,0,0,0
Nova Scotia,4151,Psychologists,0,1,1,1,1,0,0,0
Nova Scotia,4163,Business development officers and marketing researchers and consultants,0,0,0,0,1,0,0,1
Nova Scotia,4165,"Health policy researchers, consultants and program officers",0,0,0,0,0,1,0,1
Nova Scotia,4167,"Recreation, sports and fitness policy researchers, consultants and program officers",0,1,0,1,0,0,0,0
Nova Scotia,4214,Early childhood educators and assistants,4,5,18,4,3,4,3,5
Nova Scotia,4411,Home child care providers,5,10,9,5,2,9,3,7
Nova Scotia,4412,"Home support workers, housekeepers and related occupations",10,4,2,4,4,4,1,3
Nova Scotia,5121,Authors and writers,1,0,0,0,0,0,0,0
Nova Scotia,5122,Editors,0,0,0,0,0,0,2,0
Nova Scotia,5125,"Translators, terminologists and interpreters",0,0,19,0,0,0,0,0
Nova Scotia,5131,"Producers, directors, choreographers and related occupations",2,1,1,2,0,1,0,3
Nova Scotia,5135,Actors and comedians,5,0,0,0,0,0,0,0
Nova Scotia,5222,Film and video camera operators,0,0,0,2,0,0,0,0
Nova Scotia,5226,"Other technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts",2,0,0,0,0,0,0,0
Nova Scotia,5232,"Other performers, n.e.c.",0,0,0,1,0,0,0,0
Nova Scotia,5241,Graphic designers and illustrators,0,0,0,0,0,0,2,0
Nova Scotia,5244,Artisans and craftspersons,1,0,0,0,0,0,0,0
Nova Scotia,5252,Coaches,5,2,2,2,0,0,0,0
Nova Scotia,5254,"Program leaders and instructors in recreation, sport and fitness",1,0,0,0,0,0,0,0
Nova Scotia,6211,Retail sales supervisors,2,3,2,1,3,7,28,36
Nova Scotia,6221,Technical sales specialists - wholesale trade,1,0,1,1,0,2,0,0
Nova Scotia,6235,Financial sales representatives,0,0,0,0,0,1,0,0
Nova Scotia,6311,Food service supervisors,11,2,5,4,4,32,122,56
Nova Scotia,6312,Executive housekeepers,0,0,0,0,1,0,2,3
Nova Scotia,6313,"Accommodation, travel, tourism and related services supervisors",0,0,1,0,1,0,2,8
Nova Scotia,6315,Cleaning supervisors,4,2,0,1,1,0,4,2
Nova Scotia,6316,Other services supervisors,0,0,0,1,0,0,2,2
Nova Scotia,6321,Chefs,6,2,0,0,0,2,5,10
Nova Scotia,6322,Cooks,66,71,50,77,56,74,242,299
Nova Scotia,6331,"Butchers, meat cutters and fishmongers - retail and wholesale",0,0,0,1,2,1,4,10
Nova Scotia,6332,Bakers,0,3,2,0,2,0,2,4
Nova Scotia,6341,Hairstylists and barbers,1,2,0,2,2,1,10,12
Nova Scotia,6344,"Jewellers, jewellery and watch repairers and related occupations",0,0,0,0,1,0,1,0
Nova Scotia,6345,Upholsterers,0,1,0,0,0,0,0,0
Nova Scotia,6411,Sales and account representatives - wholesale trade (non-technical),0,0,0,0,0,0,0,1
Nova Scotia,6421,Retail salespersons,0,0,0,0,1,0,4,17
Nova Scotia,6511,Maîtres d'hôtel and hosts/hostesses,0,0,0,0,0,0,0,1
Nova Scotia,6513,Food and beverage servers,0,6,0,0,0,2,0,17
Nova Scotia,6522,Pursers and flight attendants,0,1,0,1,0,1,0,0
Nova Scotia,6525,Hotel front desk clerks,0,0,0,0,2,0,4,8
Nova Scotia,6532,Outdoor sport and recreational guides,0,1,0,0,0,0,0,0
Nova Scotia,6552,Other customer and information services representatives,1,0,0,0,0,0,1,0
Nova Scotia,6562,"Estheticians, electrologists and related occupations",2,1,3,3,1,4,6,19
Nova Scotia,6563,Pet groomers and animal care workers,0,0,0,0,0,0,1,0
Nova Scotia,6611,Cashiers,0,0,0,0,0,0,0,11
Nova Scotia,6622,"Store shelf stockers, clerks and order fillers",0,0,0,0,0,0,0,2
Nova Scotia,6711,"Food counter attendants, kitchen helpers and related support occupations",0,0,0,1,0,0,76,262
Nova Scotia,6722,"Operators and attendants in amusement, recreation and sport",0,0,0,0,0,0,0,1
Nova Scotia,6731,Light duty cleaners,10,9,0,0,0,2,52,102
Nova Scotia,6732,Specialized cleaners,3,2,3,1,1,0,0,2
Nova Scotia,6733,"Janitors, caretakers and building superintendents",0,3,0,0,0,0,0,7
Nova Scotia,6741,"Dry cleaning, laundry and related occupations",0,1,0,3,0,0,0,0
Nova Scotia,7202,"Contractors and supervisors, electrical trades and telecommunications occupations",0,14,1,0,1,0,0,0
Nova Scotia,7203,"Contractors and supervisors, pipefitting trades",0,0,0,0,2,0,0,4
Nova Scotia,7204,"Contractors and supervisors, carpentry trades",1,0,0,1,0,0,1,0
Nova Scotia,7205,"Contractors and supervisors, other construction trades, installers, repairers and servicers",3,2,0,0,0,0,1,2
Nova Scotia,7231,Machinists and machining and tooling inspectors,0,2,1,2,0,0,0,0
Nova Scotia,7233,Sheet metal workers,0,0,0,0,0,0,1,0
Nova Scotia,7235,Structural metal and platework fabricators and fitters,7,11,14,10,5,0,30,0
Nova Scotia,7237,Welders and related machine operators,3,9,13,0,4,4,21,1
Nova Scotia,7242,Industrial electricians,19,4,1,1,3,2,3,0
Nova Scotia,7244,Electrical power line and cable workers,0,32,5,13,0,3,0,0
Nova Scotia,7245,Telecommunications line and cable workers,1,1,0,19,0,0,6,0
Nova Scotia,7246,Telecommunications installation and repair workers,0,1,0,0,0,0,0,0
Nova Scotia,7251,Plumbers,0,0,0,1,0,0,0,0
Nova Scotia,7252,"Steamfitters, pipefitters and sprinkler system installers",0,0,0,0,10,0,0,0
Nova Scotia,7271,Carpenters,1,3,0,4,2,21,42,30
Nova Scotia,7272,Cabinetmakers,2,0,1,0,0,0,0,0
Nova Scotia,7281,Bricklayers,0,2,2,1,0,0,3,0
Nova Scotia,7282,Concrete finishers,0,1,3,3,8,0,12,23
Nova Scotia,7283,Tilesetters,0,0,0,0,0,0,2,0
Nova Scotia,7284,"Plasterers, drywall installers and finishers and lathers",0,10,0,0,0,0,2,0
Nova Scotia,7291,Roofers and shinglers,0,0,0,1,0,4,3,21
Nova Scotia,7292,Glaziers,0,0,0,0,0,6,10,0
Nova Scotia,7294,Painters and decorators (except interior decorators),10,1,0,0,0,1,10,2
Nova Scotia,7295,Floor covering installers,0,2,0,0,0,0,11,5
Nova Scotia,7301,"Contractors and supervisors, mechanic trades",2,0,1,0,0,0,0,0
Nova Scotia,7302,"Contractors and supervisors, heavy equipment operator crews",1,0,0,0,2,0,0,0
Nova Scotia,7305,"Supervisors, motor transport and other ground transit operators",0,0,0,0,0,0,2,0
Nova Scotia,7311,Construction millwrights and industrial mechanics,14,0,0,0,2,0,0,0
Nova Scotia,7312,Heavy-duty equipment mechanics,0,0,1,0,0,0,1,0
Nova Scotia,7313,Refrigeration and air conditioning mechanics,0,1,0,0,0,0,1,1
Nova Scotia,7315,Aircraft mechanics and aircraft inspectors,17,6,2,0,0,0,0,0
Nova Scotia,7316,Machine fitters,0,0,0,0,0,0,0,2
Nova Scotia,7321,"Automotive service technicians, truck and bus mechanics and mechanical repairers",0,1,0,0,1,0,6,3
