Province_Region,NOC_Code,Occupation,2016,2017,2018,2019,2020,2021,2022,2023
Canada,1222,Executive assistants,34.0,16.0,13.0,19.0,29.0,21.0,54.0,45.0
Canada,1223,Human resources and recruitment officers,32.0,30.0,15.0,30.0,46.0,53.0,206.0,212.0
Canada,1224,Property administrators,10.0,7.0,1.0,8.0,15.0,14.0,29.0,49.0
Canada,1225,Purchasing agents and officers,65.0,51.0,42.0,31.0,35.0,28.0,114.0,131.0
Canada,1226,Conference and event planners,14.0,18.0,26.0,33.0,21.0,9.0,36.0,63.0
Canada,1227,Court officers and justices of the peace,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Canada,1228,"Employment insurance, immigration, border services and revenue officers",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Canada,1241,Administrative assistants,87.0,183.0,287.0,735.0,891.0,750.0,2122.0,3337.0
Canada,1242,Legal administrative assistants,14.0,11.0,6.0,21.0,26.0,24.0,74.0,82.0
Canada,1243,Medical administrative assistants,11.0,14.0,21.0,36.0,55.0,55.0,111.0,154.0
Canada,1251,"Court reporters, medical transcriptionists and related occupations",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Canada,1252,Health information management occupations,0.0,1.0,0.0,0.0,0.0,1.0,2.0,3.0
Canada,1253,Records management technicians,0.0,1.0,2.0,1.0,2.0,0.0,4.0,5.0
Canada,1254,Statistical officers and related research support occupations,0.0,0.0,1.0,1.0,0.0,0.0,2.0,6.0
Canada,1311,Accounting technicians and bookkeepers,140.0,159.0,172.0,375.0,439.0,371.0,1170.0,1820.0
Canada,1312,Insurance adjusters and claims examiners,1.0,1.0,0.0,0.0,3.0,0.0,2.0,7.0
Canada,1313,Insurance underwriters,0.0,1.0,3.0,0.0,0.0,0.0,7.0,3.0
Canada,1314,"Assessors, valuators and appraisers",0.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0
Canada,1315,"Customs, ship and other brokers",2.0,2.0,2.0,1.0,1.0,1.0,2.0,4.0
Canada,1411,General office support workers,6.0,0.0,1.0,6.0,4.0,4.0,24.0,80.0
Canada,1414,Receptionists,0.0,0.0,1.0,8.0,3.0,1.0,28.0,125.0
Canada,1415,Personnel clerks,0.0,0.0,0.0,0.0,0.0,1.0,6.0,5.0
Canada,1416,Court clerks,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Canada,1422,Data entry clerks,3.0,0.0,1.0,1.0,5.0,1.0,4.0,22.0
Canada,1423,Desktop publishing operators and related occupations,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
