Occupational_Skill_Level,2016,2017,2018,2019,2020,2021,2022,2023,Region_Code,Region_Name
A ,18,25,24,91,45,52,166,90,2425,Chaudière-Appalaches 
B ,116,161,282,431,550,468,1620,1166,2425,Chaudière-Appalaches 
C ,848,731,1087,1881,1717,2351,3160,2619,2425,Chaudière-Appalaches 
D ,33,176,159,603,740,317,1654,811,2425,Chaudière-Appalaches 
0,6,4,4,1,2,4,8,12,2430,Estrie 
A ,44,13,35,51,26,96,89,87,2430,Estrie 
B ,39,61,107,202,278,187,658,633,2430,Estrie 
C ,381,580,726,972,1061,972,1419,1257,2430,Estrie 
D ,20,5,20,59,75,66,366,353,2430,Estrie 
0,0,1,3,7,2,4,6,7,2433,Centre-du-Québec 
A ,2,0,1,62,22,41,45,49,2433,Centre-du-Québec 
B ,37,52,112,288,224,264,814,776,2433,Centre-du-Québec 
C ,866,761,1179,1607,1683,1998,2521,2345,2433,Centre-du-Québec 
D ,17,53,64,117,236,147,757,447,2433,Centre-du-Québec 
0,14,14,13,20,21,21,45,69,2435,Montérégie 
A ,34,24,38,93,98,113,221,286,2435,Montérégie 
B ,80,69,136,392,502,463,2162,2425,2435,Montérégie 
C ,7352,5529,6232,9822,8453,9230,12452,11078,2435,Montérégie 
D ,595,542,461,751,1137,966,2680,2063,2435,Montérégie 
0,83,89,97,114,134,141,260,282,2440,Montréal 
A ,729,638,747,1318,1257,1481,2757,2062,2440,Montréal 
B ,1008,754,801,1177,931,760,2904,3689,2440,Montréal 
C ,248,292,262,487,560,431,1375,1923,2440,Montréal 
D ,17,25,43,63,76,85,713,731,2440,Montréal 
0,7,1,7,2,7,8,15,22,2445,Laval 
A ,13,12,14,30,36,48,60,79,2445,Laval 
B ,38,45,38,54,101,64,394,611,2445,Laval 
C ,589,549,632,467,833,514,1167,863,2445,Laval 
D ,0,0,0,19,39,25,284,244,2445,Laval 
0,1,1,2,3,4,2,11,9,2450,Lanaudière 
A ,0,5,3,3,7,7,16,23,2450,Lanaudière 
B ,31,23,50,125,166,152,532,571,2450,Lanaudière 
C ,2124,1689,1967,2844,2476,2966,3846,3357,2450,Lanaudière 
D ,179,224,118,266,356,248,768,477,2450,Lanaudière 
0,3,5,3,7,8,4,11,10,2455,Laurentides 
A ,19,7,5,4,13,19,35,70,2455,Laurentides 
B ,35,21,26,69,99,141,498,704,2455,Laurentides 
C ,1981,1354,1831,2615,2517,2930,3617,3651,2455,Laurentides 
D ,24,4,30,11,115,80,338,505,2455,Laurentides 
0,0,1,1,2,1,1,6,20,2460,Outaouais 
A ,29,22,16,38,30,13,41,24,2460,Outaouais 
B ,12,16,11,39,76,60,295,334,2460,Outaouais 
C ,65,56,65,188,145,106,370,222,2460,Outaouais 
D ,22,3,11,16,25,37,121,90,2460,Outaouais 
0,2,0,1,2,2,4,17,6,2465,Abitibi-Témiscamingue 
A ,14,12,5,6,5,12,17,25,2465,Abitibi-Témiscamingue 
B ,10,27,85,133,154,139,405,501,2465,Abitibi-Témiscamingue 
C ,30,32,88,196,154,202,346,375,2465,Abitibi-Témiscamingue 
D ,5,2,3,25,18,43,156,198,2465,Abitibi-Témiscamingue 
0,1,2,3,2,1,3,6,4,2470,Mauricie 
A ,3,10,12,16,26,31,45,24,2470,Mauricie 
B ,17,7,79,168,112,112,399,327,2470,Mauricie 
C ,299,431,272,639,396,655,735,682,2470,Mauricie 
D ,29,60,41,87,133,147,573,236,2470,Mauricie 
0,1,0,2,0,1,1,8,12,2475,Saguenay--Lac-Saint-Jean 
A ,2,6,20,15,21,54,52,62,2475,Saguenay--Lac-Saint-Jean 
B ,6,4,24,117,113,224,611,619,2475,Saguenay--Lac-Saint-Jean 
C ,141,185,370,688,712,841,1145,1355,2475,Saguenay--Lac-Saint-Jean 
D ,102,60,37,79,145,128,415,346,2475,Saguenay--Lac-Saint-Jean 
0,0,1,0,1,0,2,2,9,2480,Côte-Nord 
A ,2,0,0,8,10,11,16,5,2480,Côte-Nord 
B ,9,17,37,39,79,81,180,290,2480,Côte-Nord 
C ,2,9,22,25,28,79,221,210,2480,Côte-Nord 
D ,5,7,11,23,56,43,279,111,2480,Côte-Nord 
0,0,0,0,0,0,1,0,3,2490,Nord-du-Québec 
A ,0,0,0,6,3,2,6,5,2490,Nord-du-Québec 
B ,2,2,0,27,13,26,116,89,2490,Nord-du-Québec 
C ,57,1,2,13,31,35,33,40,2490,Nord-du-Québec 
D ,0,0,15,17,56,12,72,102,2490,Nord-du-Québec 
0,19,37,20,53,53,45,68,133,3510,Ottawa 
A ,155,80,132,167,133,203,343,234,3510,Ottawa 
B ,118,125,112,151,228,226,730,1099,3510,Ottawa 
C ,420,443,555,472,488,636,847,1060,3510,Ottawa 
D ,10,30,13,16,60,85,361,456,3510,Ottawa 
0,9,9,9,12,21,9,27,34,3515,Kingston--Pembroke 
A ,15,9,27,24,18,16,28,56,3515,Kingston--Pembroke 
B ,41,42,51,68,102,102,244,380,3515,Kingston--Pembroke 
C ,255,311,345,270,339,255,377,522,3515,Kingston--Pembroke 
D ,1,39,111,82,106,129,161,306,3515,Kingston--Pembroke 
0,3,4,6,7,11,7,9,31,3520,Muskoka--Kawarthas 
A ,4,0,0,1,3,5,8,1,3520,Muskoka--Kawarthas 
B ,40,67,60,84,118,104,316,317,3520,Muskoka--Kawarthas 
C ,235,278,458,361,443,390,520,502,3520,Muskoka--Kawarthas 
D ,0,9,53,3,4,3,77,164,3520,Muskoka--Kawarthas 
0,441,422,469,599,768,785,1212,1479,3530,Toronto 
A ,927,900,975,1366,1177,1545,2869,2409,3530,Toronto 
B ,2222,2667,2723,3966,4953,3867,8577,11862,3530,Toronto 
C ,3891,5029,5308,5089,3895,5015,5295,6346,3530,Toronto 
D ,253,235,197,282,419,713,1697,2253,3530,Toronto 
0,30,39,34,31,46,52,80,165,3540,Kitchener--Waterloo--Barrie 
A ,79,78,133,114,126,131,194,149,3540,Kitchener--Waterloo--Barrie 
B ,203,339,382,461,495,983,1533,1676,3540,Kitchener--Waterloo--Barrie 
C ,994,1425,1369,1245,1232,1435,1622,2264,3540,Kitchener--Waterloo--Barrie 
D ,32,28,68,97,103,126,568,445,3540,Kitchener--Waterloo--Barrie 
0,47,30,33,44,59,51,81,199,3550,Hamilton--Niagara Peninsula 
A ,36,30,40,49,43,41,80,108,3550,Hamilton--Niagara Peninsula 
B ,209,198,211,365,413,392,1004,1797,3550,Hamilton--Niagara Peninsula 
C ,7966,12405,11538,10884,10184,11349,12649,15512,3550,Hamilton--Niagara Peninsula 
D ,45,121,117,257,143,212,506,470,3550,Hamilton--Niagara Peninsula 
0,11,14,11,13,13,13,20,62,3560,London 
A ,48,56,44,35,38,34,44,57,3560,London 
B ,81,99,113,136,230,257,498,649,3560,London 
C ,1783,2308,2375,2669,2407,2345,3072,2924,3560,London 
D ,4,185,211,201,354,231,317,428,3560,London 
0,11,13,8,19,11,14,31,46,3570,Windsor--Sarnia 
A ,16,16,8,13,8,11,25,46,3570,Windsor--Sarnia 
B ,104,105,93,144,123,150,329,486,3570,Windsor--Sarnia 
C ,8138,8508,8804,8609,9115,10276,10527,11936,3570,Windsor--Sarnia 
D ,143,355,973,803,791,848,937,778,3570,Windsor--Sarnia 
0,4,6,7,3,9,4,14,31,3580,Stratford--Bruce Peninsula 
A ,12,7,3,7,4,4,11,30,3580,Stratford--Bruce Peninsula 
B ,51,145,243,216,217,277,542,560,3580,Stratford--Bruce Peninsula 
C ,924,1314,1426,1153,1259,1185,1857,2088,3580,Stratford--Bruce Peninsula 
D ,5,16,76,103,77,84,276,200,3580,Stratford--Bruce Peninsula 
0,13,9,10,9,14,14,24,46,3590,Northeast 
A ,17,8,13,13,14,7,5,31,3590,Northeast 
B ,65,45,76,151,147,145,445,591,3590,Northeast 
C ,141,239,234,199,212,173,355,403,3590,Northeast 
D ,0,0,0,12,17,6,79,113,3590,Northeast 
0,5,0,7,4,9,7,8,12,3595,Northwest 
A ,10,5,8,1,6,8,5,12,3595,Northwest 
B ,10,30,62,55,67,94,222,331,3595,Northwest 
C ,5,9,35,24,34,9,130,97,3595,Northwest 
D ,1,0,0,2,1,12,50,145,3595,Northwest 
0,1,1,1,2,3,2,3,6,4610,Southeast 
A ,2,0,1,0,0,2,0,1,4610,Southeast 
B ,5,2,10,11,10,21,70,95,4610,Southeast 
C ,77,62,48,141,121,62,191,169,4610,Southeast 
D ,0,2,0,25,0,3,92,63,4610,Southeast 
0,0,0,1,1,0,0,1,3,4620,South Central 
A ,0,0,0,1,0,0,1,0,4620,South Central 
B ,2,22,13,18,8,15,40,45,4620,South Central 
C ,125,72,181,204,182,175,193,348,4620,South Central 
D ,2,0,0,4,0,7,34,35,4620,South Central 
0,5,1,3,4,0,2,8,4,4630,Southwest 
A ,3,4,3,5,5,6,5,11,4630,Southwest 
B ,28,38,33,46,37,34,110,101,4630,Southwest 
C ,46,81,29,42,51,108,156,89,4630,Southwest 
D ,158,155,156,158,1,154,169,35,4630,Southwest 
0,3,2,1,2,1,0,1,1,4640,North Central 
A ,0,0,0,0,0,0,0,1,4640,North Central 
B ,11,7,21,16,5,9,33,58,4640,North Central 
C ,306,288,282,289,488,336,396,505,4640,North Central 
D ,0,0,0,0,0,0,18,95,4640,North Central 
0,7,7,12,25,19,22,29,30,4650,Winnipeg 
A ,50,39,101,49,46,95,108,83,4650,Winnipeg 
B ,81,114,126,123,161,197,630,896,4650,Winnipeg 
C ,76,61,82,274,223,323,640,720,4650,Winnipeg 
D ,2,0,4,1,4,19,204,369,4650,Winnipeg 
0,0,0,1,1,0,2,1,2,4660,Interlake 
A ,3,3,0,0,1,2,6,6,4660,Interlake 
B ,10,8,13,24,16,37,99,99,4660,Interlake 
C ,34,147,140,227,223,134,224,352,4660,Interlake 
D ,8,0,0,0,0,0,31,46,4660,Interlake 
0,0,1,0,2,1,0,2,4,4670,Parklands 
A ,0,2,0,1,0,0,0,1,4670,Parklands 
B ,43,15,24,24,22,26,58,70,4670,Parklands 
C ,78,67,74,109,113,37,140,106,4670,Parklands 
D ,0,3,0,5,2,0,29,50,4670,Parklands 
0,0,1,0,0,0,0,1,8,4680,North 
A ,22,14,17,13,6,1,5,7,4680,North 
B ,33,10,9,33,8,16,72,59,4680,North 
C ,5,20,2,67,13,3,15,22,4680,North 
D ,0,16,0,0,0,2,39,20,4680,North 
0,7,7,3,6,6,11,7,18,4710,Regina--Moose Mountain 
A ,26,23,17,8,9,14,19,14,4710,Regina--Moose Mountain 
B ,182,100,102,132,54,94,280,280,4710,Regina--Moose Mountain 
C ,82,98,104,160,145,163,286,284,4710,Regina--Moose Mountain 
D ,11,9,11,18,6,11,49,125,4710,Regina--Moose Mountain 
0,2,0,1,0,0,1,2,2,4720,Swift Current--Moose Jaw 
A ,3,4,2,1,1,1,7,6,4720,Swift Current--Moose Jaw 
B ,36,39,39,92,59,42,158,124,4720,Swift Current--Moose Jaw 
C ,36,45,31,105,79,34,142,108,4720,Swift Current--Moose Jaw 
D ,20,19,12,11,10,0,41,72,4720,Swift Current--Moose Jaw 
0,4,7,3,1,5,7,11,14,4730,Saskatoon--Biggar 
A ,10,14,19,29,14,31,26,8,4730,Saskatoon--Biggar 
B ,63,83,83,74,70,88,250,280,4730,Saskatoon--Biggar 
C ,199,178,237,224,200,223,300,419,4730,Saskatoon--Biggar 
D ,8,1,9,3,12,16,102,232,4730,Saskatoon--Biggar 
0,4,0,0,2,1,1,0,0,4740,Yorkton--Melville 
A ,0,2,0,1,1,0,1,1,4740,Yorkton--Melville 
B ,34,39,44,60,59,25,76,97,4740,Yorkton--Melville 
C ,65,84,47,106,84,72,96,137,4740,Yorkton--Melville 
D ,14,1,0,8,0,0,20,47,4740,Yorkton--Melville 
0,0,2,0,1,1,2,1,2,4750,Prince Albert 
A ,23,14,14,5,14,8,10,5,4750,Prince Albert 
B ,42,51,52,64,45,66,151,131,4750,Prince Albert 
C ,216,238,222,313,285,276,340,577,4750,Prince Albert 
D ,0,3,1,2,0,1,30,95,4750,Prince Albert 
0,2,2,2,4,2,2,2,3,4760,Northern 
A ,0,1,0,0,0,0,0,0,4760,Northern 
B ,7,1,2,4,0,2,5,0,4760,Northern 
C ,1,1,6,0,0,0,2,4,4760,Northern 
D ,0,1,0,0,0,0,9,2,4760,Northern 
0,36,12,7,12,3,5,19,9,4810,Lethbridge--Medicine Hat 
A ,10,12,6,11,6,5,14,17,4810,Lethbridge--Medicine Hat 
B ,191,272,176,285,216,266,631,555,4810,Lethbridge--Medicine Hat 
C ,1183,1045,1079,1274,1175,1183,1403,1857,4810,Lethbridge--Medicine Hat 
D ,43,107,12,84,39,121,124,284,4810,Lethbridge--Medicine Hat 
